"","it","dim","N","pr","lh","prior"
"9026",9026,5,213.714088259533,0.00109206780405615,-8377.4301583688,-1750.47342833598
"9027",9027,5,186.736705436288,0.00171293709954723,-8403.85764780635,-1722.16098796057
"9028",9028,5,297.920009586886,0.000288276230513515,-8407.52923044804,-1725.82985759634
"9029",9029,5,205.29361941194,0.00310590627555997,-8398.35780830398,-1730.32734265415
"9030",9030,5,262.183628447244,0.000534126226143462,-8405.17148064447,-1722.74633186268
"9031",9031,5,194.485154896506,0.00336722907297129,-8371.96001823829,-1756.24193737447
"9032",9032,5,186.834738405436,0.000670273051548328,-8411.61198914208,-1722.40124427515
"9033",9033,5,188.861476295671,0.00199956995355745,-8403.44183905409,-1722.86569711709
"9034",9034,5,163.169457395483,0.00192719030919226,-8405.81766871725,-1725.90485467877
"9035",9035,5,275.122812969671,0.00189447980520265,-8408.52770866367,-1722.98978406583
"9036",9036,5,245.793303178044,0.00190222861564724,-8396.37154173212,-1739.30852718831
"9037",9037,5,188.481918761201,0.00351645083998762,-8403.61203741064,-1722.30166332981
"9038",9038,5,367.982554673901,0.00447530523456644,-8378.44379191696,-1759.93065528666
"9039",9039,5,203.960743958866,0.00150995456729857,-8399.09480768647,-1729.58100271266
"9040",9040,5,246.248475225596,0.00269774638160473,-8379.07710363275,-1748.24891856438
"9041",9041,5,293.784906723953,0.00279364465718236,-8370.6097613194,-1756.5991343762
"9042",9042,5,182.948591562429,0.000791838189169586,-8368.7730156351,-1755.3270933437
"9043",9043,5,227.399110310978,0.0011476863205702,-8371.00756588956,-1756.17999923039
"9044",9044,5,255.998585257715,0.00286139326353912,-8370.04211427064,-1753.74084784559
"9045",9045,5,202.758390269227,0.00347212385402807,-8396.62304441342,-1721.57409481485
"9046",9046,5,309.482481245939,0.00128414083834696,-8403.2718409571,-1724.5117295034
"9047",9047,5,206.65738921049,0.00224606713904977,-8455.63541567316,-1679.84603957741
"9048",9048,5,387.068263496357,0.00170040550516781,-8379.21951063464,-1753.04788114188
"9049",9049,5,250.270277371539,0.000268026962096835,-8381.30814404779,-1749.80207001171
"9050",9050,5,205.742382463247,0.00316732640531539,-8404.4132556057,-1722.57834874653
"9051",9051,6,272.376684205227,0.00435021796856429,-8244.43874926871,-1893.85788058197
"9052",9052,5,210.505878914329,0.00273261904593899,-8395.2930010655,-1731.90988201079
"9053",9053,5,181.014264221291,0.00236452729290369,-8373.99481396104,-1747.77902534821
"9054",9054,5,264.386555129627,0.00286679452600051,-8379.39222663883,-1756.97530752918
"9055",9055,5,247.569803136267,0.00217906828187681,-8371.95704333664,-1756.6767997763
"9056",9056,5,188.028952475094,0.00116624341426605,-8403.48431436191,-1717.20017243121
"9057",9057,5,221.696758917195,0.00119747502455138,-8403.88773790342,-1718.79300219188
"9058",9058,5,152.799129776201,0.00279700948361377,-8377.8948540005,-1749.73223725822
"9059",9059,5,228.941907335391,0.00159926938948155,-8378.35535392141,-1744.93148764138
"9060",9060,5,245.19981334002,0.0005476286260848,-8403.19873559031,-1725.76653227606
"9061",9061,5,279.781049530339,0.00369490234043508,-8406.89215916015,-1724.55948028864
"9062",9062,5,268.766620469372,0.00605252824276569,-8399.44136991816,-1729.08255037749
"9063",9063,5,181.852201368703,0.00119118846113429,-8370.61919277355,-1751.00162202775
"9064",9064,5,170.820664646141,0.0015244572404348,-8400.5500677503,-1724.12829803368
"9065",9065,5,165.715600750824,0.00124493689893147,-8378.11311567664,-1745.30069449456
"9066",9066,5,183.998232875889,0.00083951910917673,-8401.04928768938,-1720.69972596846
"9067",9067,5,184.002469176993,0.0017423264230866,-8369.43514946065,-1756.46284993634
"9068",9068,5,305.188514136527,0.00114606133239865,-8398.88219312435,-1726.69199189567
"9069",9069,6,216.315393644979,0.00277877333290748,-8362.70775902951,-1772.4076803378
"9070",9070,5,219.713720945439,0.00163910037846162,-8408.97756826373,-1719.35611133923
"9071",9071,5,214.814270015699,0.00266577786303324,-8377.17317317298,-1752.23667758248
"9072",9072,5,233.112216683582,0.0026567110762564,-8400.25770313643,-1728.33468121356
"9073",9073,5,227.534931064947,0.00248353965479221,-8398.0977221803,-1726.9797909028
"9074",9074,5,249.878855799952,0.00384962134386985,-8374.11108154105,-1755.08282091017
"9075",9075,6,197.132881444413,0.00110503974771049,-8325.43815269622,-1808.55422818728
"9076",9076,5,317.055804261195,0.00562677341073212,-8366.11643318714,-1768.25718707894
"9077",9077,5,372.046039647793,0.00397890534579538,-8384.65559588419,-1754.37946862458
"9078",9078,5,297.974553306394,0.000961102664556616,-8380.40218830994,-1750.34697709468
"9079",9079,5,237.561803049717,0.00149348486690585,-8402.61638527333,-1723.80214469287
"9080",9080,5,315.591012099969,0.00193335134973931,-8407.72143997057,-1724.4804717118
"9081",9081,5,239.248610644084,0.00241673864175551,-8439.07481566329,-1688.25385003085
"9082",9082,5,236.476193030661,0.00129606747737021,-8437.07805620767,-1684.28462474318
"9083",9083,5,208.75896463741,0.00219291163330497,-8390.63263155294,-1737.95254605977
"9084",9084,5,227.655461603086,0.000703541166880971,-8374.48733595151,-1750.00106994894
